"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test, and the percent positive by influenza type."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
National,X,2023,40,64939,430,285,1.10103,0.66216,0.438873
National,X,2023,41,65514,594,290,1.34933,0.906676,0.442653
National,X,2023,42,66801,693,318,1.51345,1.03741,0.476041
National,X,2023,43,69229,862,393,1.81282,1.24514,0.567681
National,X,2023,44,77193,1456,566,2.61941,1.88618,0.733227
National,X,2023,45,92301,2582,1072,3.95879,2.79737,1.16142
National,X,2023,46,100657,3647,1250,4.86504,3.6232,1.24184
National,X,2023,47,95965,4334,1347,5.91987,4.51623,1.40364
National,X,2023,48,118752,6571,1705,6.96915,5.53338,1.43577
National,X,2023,49,126299,10169,2207,9.79897,8.05153,1.74744
National,X,2023,50,138909,15256,3340,13.3872,10.9827,2.40445
National,X,2023,51,155722,22285,4688,17.3213,14.3108,3.01049
National,X,2023,52,153922,22917,5035,18.1605,14.8887,3.27114
National,X,2024,1,137969,15374,3666,13.8031,11.1431,2.65712
National,X,2024,2,130403,14376,3706,13.867,11.0243,2.84196
National,X,2024,3,116068,13213,4084,14.9059,11.3838,3.51863
National,X,2024,4,120481,14151,5283,16.1303,11.7454,4.38492
National,X,2024,5,123949,13525,6687,16.3067,10.9117,5.39496
National,X,2024,6,124097,12145,7526,15.8521,9.7867,6.06461
National,X,2024,7,120149,11042,7662,15.5673,9.19026,6.37708
National,X,2024,8,118107,10143,8185,15.5181,8.58798,6.93016
National,X,2024,9,109663,8944,7447,14.9467,8.1559,6.7908
National,X,2024,10,103198,7780,6901,14.2261,7.53891,6.68715
National,X,2024,11,97623,5798,5840,11.9214,5.93917,5.9822
National,X,2024,12,90497,4766,4612,10.3628,5.26647,5.0963
National,X,2024,13,86150,4001,3884,9.15264,4.64423,4.50842
National,X,2024,14,81799,3243,2923,7.53799,3.9646,3.57339
National,X,2024,15,77973,2389,2128,5.79303,3.06388,2.72915
National,X,2024,16,71822,1866,1551,4.7576,2.59809,2.15951
National,X,2024,17,70211,1496,1172,3.79997,2.13072,1.66925
National,X,2024,18,60132,1106,816,3.1963,1.83929,1.35701
National,X,2024,19,54075,807,451,2.3264,1.49237,0.834027
National,X,2024,20,52042,595,354,1.82353,1.14331,0.68022
National,X,2024,21,50362,538,288,1.64013,1.06827,0.57186
National,X,2024,22,45394,562,182,1.63898,1.23805,0.400934
National,X,2024,23,43789,503,145,1.47982,1.14869,0.331133
National,X,2024,24,41945,425,113,1.28263,1.01323,0.2694
National,X,2024,25,39787,341,76,1.04808,0.857064,0.191017
National,X,2024,26,37950,294,44,0.890646,0.774704,0.115942
National,X,2024,27,38217,344,33,0.986472,0.900123,0.086349
National,X,2024,28,41312,304,39,0.830267,0.735864,0.0944036
National,X,2024,29,41425,256,31,0.692818,0.617984,0.074834
National,X,2024,30,44143,239,27,0.602587,0.541422,0.0611649
National,X,2024,31,45125,215,37,0.558449,0.476454,0.0819945
National,X,2024,32,46583,199,27,0.485156,0.427194,0.0579611
National,X,2024,33,50508,201,27,0.451414,0.397957,0.0534569
National,X,2024,34,53810,205,30,0.436722,0.38097,0.0557517
National,X,2024,35,59674,211,37,0.415591,0.353588,0.0620036
National,X,2024,36,59672,234,29,0.440743,0.392144,0.048599
National,X,2024,37,62349,271,26,0.476351,0.43465,0.0417007
National,X,2024,38,63235,295,41,0.531351,0.466514,0.0648375
National,X,2024,39,57421,244,60,0.529423,0.424932,0.104491
