"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v,A (H5)
National,X,2023,40,3064,176,16,10,3,48,0,0,0
National,X,2023,41,3067,213,22,12,5,68,0,0,0
National,X,2023,42,3416,276,26,34,12,73,0,0,0
National,X,2023,43,2934,240,36,48,14,68,0,0,0
National,X,2023,44,3172,292,41,63,13,90,0,0,0
National,X,2023,45,3303,483,62,111,29,135,0,0,0
National,X,2023,46,3897,489,103,149,43,143,0,0,0
National,X,2023,47,3032,583,124,141,27,141,0,0,0
National,X,2023,48,4221,711,176,174,24,219,0,0,0
National,X,2023,49,4519,972,272,245,52,262,0,0,0
National,X,2023,50,5001,1017,288,400,82,303,0,0,0
National,X,2023,51,5079,1242,330,277,39,286,0,0,0
National,X,2023,52,4499,1229,303,249,21,245,0,0,0
National,X,2024,1,4878,1134,338,231,59,317,0,0,0
National,X,2024,2,5104,945,346,242,60,258,0,0,0
National,X,2024,3,3798,794,302,163,46,209,0,0,0
National,X,2024,4,4305,765,393,190,57,290,0,0,0
National,X,2024,5,4136,692,394,138,58,387,0,0,0
National,X,2024,6,4024,607,434,172,61,433,0,0,0
National,X,2024,7,4208,518,438,150,57,441,0,0,0
National,X,2024,8,4023,488,442,172,63,483,0,0,0
National,X,2024,9,4066,475,397,139,49,447,0,0,0
National,X,2024,10,3764,371,419,122,39,472,0,0,0
National,X,2024,11,3192,287,351,95,33,397,0,0,0
National,X,2024,12,2888,249,322,82,34,316,0,0,0
National,X,2024,13,2808,220,284,65,30,266,0,0,0
National,X,2024,14,2082,180,295,43,31,253,0,0,0
National,X,2024,15,1895,181,271,37,15,252,0,0,0
National,X,2024,16,1663,132,219,36,19,177,0,0,0
National,X,2024,17,1484,100,150,27,18,134,0,0,0
National,X,2024,18,1271,104,139,19,15,97,0,0,0
National,X,2024,19,1272,64,104,16,15,84,0,0,0
National,X,2024,20,1034,54,88,15,2,47,0,0,0
National,X,2024,21,1096,53,118,13,2,36,0,0,1
National,X,2024,22,1137,59,104,11,6,57,0,0,0
National,X,2024,23,1125,63,128,7,3,48,0,0,0
National,X,2024,24,1287,84,128,11,2,46,0,0,0
National,X,2024,25,1175,76,125,16,5,29,0,0,0
National,X,2024,26,1622,90,162,14,1,30,0,0,0
National,X,2024,27,1280,72,149,22,1,12,0,0,0
National,X,2024,28,1639,88,137,17,1,10,0,1,8
National,X,2024,29,1454,61,97,13,1,9,0,0,2
National,X,2024,30,1446,53,111,6,0,12,0,0,1
National,X,2024,31,1400,75,93,8,1,3,0,0,0
National,X,2024,32,1486,89,103,9,0,5,0,0,0
National,X,2024,33,1510,80,81,3,0,2,0,0,0
National,X,2024,34,1460,64,73,7,0,5,0,0,1
National,X,2024,35,1328,70,110,4,0,4,0,0,0
National,X,2024,36,1378,72,72,6,0,4,0,2,0
National,X,2024,37,1489,85,75,6,1,5,0,0,0
National,X,2024,38,1513,109,94,16,0,3,0,0,0
National,X,2024,39,1345,104,96,14,1,7,0,0,0
