PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2023,40,2.27908,2.26141,13519,13441,X,19001,5294,5054,56309,4103,2489991
National,X,2023,41,2.33755,2.31454,14419,13964,X,18593,5431,5096,57503,4124,2484429
National,X,2023,42,2.52242,2.51633,15704,14454,X,20290,5814,6195,62457,4105,2482069
National,X,2023,43,2.71275,2.68605,16986,15480,X,22514,6082,6712,67774,4135,2523186
National,X,2023,44,2.94538,2.91431,17793,16585,X,24797,6337,6696,72208,4126,2477704
National,X,2023,45,3.40957,3.32818,21464,19331,X,29463,7439,7761,85458,4122,2567706
National,X,2023,46,3.6903,3.5748,22031,21568,X,30863,8086,8425,90973,4129,2544844
National,X,2023,47,3.92958,3.79115,22396,20391,X,25939,8378,8418,85522,4141,2255831
National,X,2023,48,4.03334,3.96202,22638,28337,X,30346,11136,11207,103664,4111,2616442
National,X,2023,49,4.38382,4.35865,23367,29030,X,38203,12200,11369,114169,4073,2619366
National,X,2023,50,5.18426,5.21105,26102,35036,X,48365,14003,12573,136079,4093,2611355
National,X,2023,51,6.23157,6.31482,29797,45268,X,53504,18114,16627,163310,4062,2586137
National,X,2023,52,6.7962,6.90944,31368,49904,X,41682,21635,21608,166197,4043,2405363
National,X,2024,1,5.71536,5.76408,24691,47024,X,32324,20529,19382,143950,4078,2497365
National,X,2024,2,4.66576,4.7532,18090,36949,X,31314,16352,15356,118061,4064,2483819
National,X,2024,3,4.32446,4.35295,16160,30578,X,29171,12643,11559,100111,4084,2299842
National,X,2024,4,4.22972,4.22481,16238,31797,X,34392,12498,10653,105578,4110,2498999
National,X,2024,5,4.42065,4.27996,17275,30429,X,38578,11603,10061,107946,4093,2522125
National,X,2024,6,4.45705,4.40158,17971,31617,X,41796,11550,10050,112984,4095,2566895
National,X,2024,7,4.35511,4.33696,17414,30780,X,39008,11242,9969,108413,4088,2499747
National,X,2024,8,4.33545,4.32386,17611,31223,X,37089,11309,10166,107398,4073,2483847
National,X,2024,9,4.0587,4.09674,17307,30505,X,35950,11037,9901,104700,4058,2555691
National,X,2024,10,3.72797,3.74694,16504,26658,X,33084,9708,8822,94776,4077,2529424
National,X,2024,11,3.39722,3.40146,15886,23711,X,29174,8472,7746,84989,4022,2498605
National,X,2024,12,3.08528,3.15473,15075,21956,X,26537,7812,7112,78492,4069,2488074
National,X,2024,13,2.97703,3.03883,14416,21208,X,23569,7490,7100,73783,4060,2428005
National,X,2024,14,2.76586,2.83202,13933,20152,X,20521,7159,6787,68552,4049,2420608
National,X,2024,15,2.53824,2.59248,13273,18246,X,19776,6845,6383,64523,4064,2488849
National,X,2024,16,2.24747,2.29479,11850,15637,X,18343,5942,5775,57547,4046,2507721
National,X,2024,17,2.19144,2.24787,11393,14892,X,18200,5642,5291,55418,4020,2465351
National,X,2024,18,2.09931,2.14622,11132,14266,X,17618,5364,5141,53521,3976,2493729
National,X,2024,19,2.00488,2.04206,10360,13410,X,16453,5172,5018,50413,4018,2468736
National,X,2024,20,1.97657,2.03606,10406,13165,X,15797,5051,4991,49410,3967,2426743
National,X,2024,21,1.90707,1.95861,9846,12852,X,14632,5281,4962,47573,3921,2428922
National,X,2024,22,1.87651,1.92202,9662,11925,X,13377,4833,4948,44745,3907,2328017
National,X,2024,23,1.66065,1.72659,8272,11763,X,11482,4803,4905,41225,3886,2387650
National,X,2024,24,1.58178,1.60594,7428,10852,X,10240,4591,4638,37749,3883,2350585
National,X,2024,25,1.49244,1.54276,6737,10989,X,9063,4334,4687,35810,3881,2321170
National,X,2024,26,1.4663,1.49763,6270,10632,X,9104,4530,4688,35224,3823,2351985
National,X,2024,27,1.37639,1.44721,5818,9483,X,8091,4037,4701,32130,3865,2220134
National,X,2024,28,1.45548,1.44812,6105,10810,X,8834,4636,4632,35017,3852,2418108
National,X,2024,29,1.45233,1.43633,5708,10232,X,8308,4481,4628,33357,3798,2322374
National,X,2024,30,1.52211,1.50432,6025,10737,X,8686,4552,4816,34816,3879,2314401
National,X,2024,31,1.53543,1.4951,6014,10829,X,8946,4451,4779,35019,3889,2342255
National,X,2024,32,1.53984,1.50508,6283,10776,X,9107,4309,4610,35085,3878,2331105
National,X,2024,33,1.56577,1.56538,6611,10927,X,10514,4425,4572,37049,3888,2366776
National,X,2024,34,1.76988,1.76294,7612,11679,X,13436,4542,4570,41839,3890,2373251
National,X,2024,35,1.93414,1.88944,8436,12221,X,15731,4555,4733,45676,3890,2417432
National,X,2024,36,1.9202,1.90808,8653,12074,X,14746,4689,4578,44740,3898,2344763
National,X,2024,37,1.95528,1.90654,8863,12549,X,15823,4677,4742,46654,3844,2447051
National,X,2024,38,1.95303,1.94807,9493,12319,X,17190,4737,4765,48504,3902,2489845
National,X,2024,39,1.93495,1.93698,9467,12155,X,16115,4627,4482,46846,3877,2418511
